what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436205734066
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436205798723
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436205892409
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436206096891
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436206374570
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436206420094
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436206487194
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1436206520858
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1436206523053
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1436206558040
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436206575595
started,bundle,org.eclipse.mylyn.java.tasks,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.tasks",1436206586581
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1436206587044
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1436206587799
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436206623118
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436206625793
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1436206636368
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436206720524
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436206726729
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1436206773844
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436206776847
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436207102567
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1436207108806
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436207244242
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436207251940
