what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1436227081399
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1436227081602
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1436227081779
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436227094427
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436227096405
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436227099463
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436227100521
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436227125610
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436227129908
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436227132908
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436227134946
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436227157961
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436227161122
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436227162835
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436227166224
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436227277954
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436227281468
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436227287297
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436227287952
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436227304880
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436227307774
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1436227416076
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1436227428778
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436227559661
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1436227627443
